numid,network_name,station_id,station_name,station_country,station_type,station_type_of_area,station_alt,station_google_alt,station_etopo_relative_alt,station_population_density,station_max_population_density_5km,station_max_population_density_25km,station_nightlight_1km,station_nightlight_5km,station_max_nightlight_25km,station_htap_region,station_climatic_zone,station_dominant_landcover,station_landcover_description,station_nox_emissions,station_omi_no2_column,station_toar_category,station_wheat_production,data_capture,mean,dma8epa,dma8epa_strict,dma8epax,dma8epax_strict,dma8eu,dma8eu_strict,avgdma8epax,p05,p10,p25,p75,p90,p95,p98,aot40,daylight_aot40,w126,w126_24h,daytime_avg,nighttime_avg,count,AOT40,AOT0,iso_a2,name_long,continent,region_un,subregion,type,area_km2,pop,lifeExp,gdpPercap,geometry
3354,UBA,DENW096,Mﾃｶnchengladbach-Rheydt,Germany,background,suburban,78,83,21,19925,19925,31437,56,48.48,63,4,1,13,"Croplands: 49.8 %, Urban and built-up: 29.8 %, Cropland/Natural vegetation mosaic: 9.9 %, Mixed forest: 8.1 %, Grasslands: 1.8 %",7.56329,11.29,0,5.039,0.943161231884,24.7320592793,57.1063640625,57.033790625,57.1063640625,55.3647,41.6866078125,41.5826149554,36.0751416702,1.522276375,4.55662175,13.924990625,34.478684375,42.745905,48.75139875,55.9316285,2193.93011289,2187.87760995,2134.29605207,2495.80918203,30.7050994447,18.4149639917,8,2.19393011289,33.161507400276,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.42571|51.154614
3355,UBA,DENW038,Mﾃｼlheim-Styrum,Germany,background,urban,37,38,10,24526,36502,39682,63,61.81,63,4,1,13,"Urban and built-up: 49.4 %, Mixed forest: 19.4 %, Croplands: 12.1 %, Cropland/Natural vegetation mosaic: 10.5 %, Evergreen Needleleaf forest: 6.6 %",15.3988,11.75,3,0.016,0.943557518116,23.4866612709,55.77494375,55.77494375,55.77494375,53.8784589286,41.6206609375,41.5737035714,35.1319811996,0.61712931,1.9009344125,11.6052375,33.803615625,42.505505,48.358086875,54.38338875,2102.25353958,2099.42547008,2030.01543049,2366.78904205,29.9949119602,16.7421608074,8,2.10225353958,32.394504917016,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.865107|51.45346
3356,UBA,DENW095,Mﾃｼnster-Geist,Germany,background,urban,63,63,11,11643,11654,11654,55,47.31,61,4,3,13,"Croplands: 57.5 %, Cropland/Natural vegetation mosaic: 27.9 %, Urban and built-up: 9.8 %, Mixed forest: 4.8 %",5.6584,6.5,0,3.202,0.936412545788,29.954661898,62.6351510417,62.32228125,62.6351510417,62.6142375,47.865603125,47.4735859375,41.7137706989,4.0771506875,9.5667705,20.054084375,39.51654375,48.33692875,54.377871875,61.26299075,3849.58528202,3899.31138258,3715.88567491,4577.37079968,35.8001297504,23.624972763,8,3.84958528202,38.664140130432,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.611581|51.936547
3357,UBA,DENW065,Netphen (Rothaargebirge),Germany,background,rural,635,641,221,3386,3389,3401,6,8.59,57,4,3,5,"Mixed forest: 82.3 %, Urban and built-up: 7.0 %, Cropland/Natural vegetation mosaic: 5.7 %, Evergreen Needleleaf forest: 3.4 %, Croplands: 1.1 %",0.961857,3.69,0,0.204,0.94288003663,40.1448326485,66.2809383929,65.6219649554,66.0803662946,65.6848110863,53.684,53.1919982143,46.3291753557,22.342620625,25.69584625,31.944965625,47.64203125,55.57689875,60.581248125,65.8962455,6264.7844441,6566.68437786,5581.23564366,9297.35715889,42.0776254648,38.0103558283,8,6.2647844441,45.443835501984,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,8.191932|50.930328
3358,UBA,DENW074,Niederzier,Germany,industrial,rural,105,105,106,4056,4060,17017,44,36.72,60,4,3,12,"Croplands: 54.1 %, Urban and built-up: 22.8 %, Mixed forest: 13.1 %, Cropland/Natural vegetation mosaic: 6.9 %, Grasslands: 2.5 %",4.70057,8.96,0,8.386,0.949862637363,29.7742992168,64.6331890625,64.3803296875,64.6331890625,64.3803296875,47.5988765625,47.591846875,42.4278563594,4.891108625,9.7802935,19.6651875,39.178709375,47.89174125,54.88146625,62.85403575,4143.87018586,4197.09177072,4109.32133984,4714.97235926,37.2939962489,21.6706657071,8,4.14387018586,40.277515948812,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.469363|50.883475
3359,UBA,DENW078,Ratingen-Tiefenbroich,Germany,background,suburban,41,40,8,23939,34465,36502,61,55.59,63,4,1,13,"Urban and built-up: 49.7 %, Mixed forest: 17.9 %, Croplands: 17.6 %, Cropland/Natural vegetation mosaic: 7.6 %, Evergreen Needleleaf forest: 6.0 %",10.4437,11.34,3,2.603,0.948879076087,23.5858513534,56.2459390625,55.756765625,56.2641421875,54.5434053571,41.4122758929,41.2762118304,35.6227820531,0.438378225,1.591272025,11.5683421875,34.1180375,42.395935,48.689275,54.7431755,2132.81202796,2126.2560191,2075.17274395,2426.83567027,30.4363056464,16.3907610307,8,2.13281202796,32.871210098112,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.819967|51.303919
3361,UBA,DENW064,Simmerath (Eifel),Germany,background,rural,572,580,166,7593,7593,20125,12,12.07,62,4,3,5,"Mixed forest: 52.3 %, Cropland/Natural vegetation mosaic: 20.6 %, Croplands: 12.7 %, Urban and built-up: 8.2 %, Evergreen Needleleaf forest: 3.6 %, Grasslands: 2.6 %",1.84983,5.52,0,1.583,0.927197802198,35.550594499,65.1304078125,64.14935625,65.1304078125,65.0247875,48.1500488839,46.7955363839,43.0349173649,18.482834375,21.83913625,27.798553125,42.1110625,50.8284625,56.456525625,62.99628675,4409.96769066,4582.37033077,4217.64711857,5948.39493487,38.932173437,31.9285354998,8,4.40996769066,42.04674731196,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.281069|50.653236
3362,UBA,DENW068,Soest-Ost,Germany,background,rural,110,110,28,3143,3146,10658,40,26.1,55,4,3,13,"Croplands: 58.8 %, Mixed forest: 22.0 %, Urban and built-up: 9.0 %, Cropland/Natural vegetation mosaic: 8.7 %, Evergreen Needleleaf forest: 1.3 %",2.01106,5.84,0,6.309,0.940533424908,29.3748152841,59.7109140625,59.5288,59.7109140625,59.7109140625,47.1337084821,46.8472917411,41.5144842035,4.564069625,9.729561,19.483528125,39.206090625,47.379115,52.944213125,58.899941,3661.77419338,3692.5180095,3243.08725115,3817.67690849,36.2308566612,22.0091869774,8,3.66177419338,39.129325194096,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,8.148061|51.570662
3363,UBA,DENW080,Solingen-Wald,Germany,background,suburban,207,208,100,24010,26229,34559,56,50.89,63,4,3,13,"Urban and built-up: 38.7 %, Mixed forest: 35.8 %, Cropland/Natural vegetation mosaic: 14.4 %, Croplands: 7.1 %, Evergreen Needleleaf forest: 2.3 %, Grasslands: 1.3 %",8.51999,9.38,0,3.951,0.94030448718,31.8631705545,66.5553082589,65.4327578125,66.5553082589,66.3206082589,49.1434708333,48.5237386161,41.6726978245,9.5650371875,13.941465,21.898175,40.826521875,50.64676,56.581656875,63.94731725,4552.00481551,4650.31180831,4623.33077598,5925.88307878,36.7521301248,26.551382972,8,4.55200481551,39.692300534784,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.052634|51.183773
3364,UBA,DENW030,Wesel-Feldmark,Germany,background,suburban,25,26,12,6132,6138,36502,56,38.61,63,4,3,13,"Cropland/Natural vegetation mosaic: 40.7 %, Croplands: 26.0 %, Urban and built-up: 15.2 %, Mixed forest: 14.0 %, Evergreen Needleleaf forest: 3.1 %",75.0858,9.85,0,4.806,0.927712912088,30.3591886182,65.2786375,64.988915625,65.2786375,64.983575,47.8787801339,47.6768497768,42.4458094004,5.6827169375,11.31209575,20.783378125,39.519440625,48.69852125,54.796136875,62.6045595,4446.13171748,4517.26322221,4362.19406771,4983.15510409,37.7546372578,22.52026327,8,4.44613171748,40.775008238424,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.629576|51.672809
3365,UBA,DENW114,Wuppertal-Langerfeld,Germany,background,urban,186,186,15,26725,26725,34349,55,48.24,63,4,3,13,"Mixed forest: 44.6 %, Urban and built-up: 30.0 %, Cropland/Natural vegetation mosaic: 14.9 %, Croplands: 6.0 %, Evergreen Needleleaf forest: 2.3 %, Grasslands: 1.6 %",6.57605,7.34,0,1.428,0.942479395604,26.9583195707,63.33891875,63.208390625,63.33891875,63.208390625,46.6933540179,46.5922236607,40.4416981752,1.0455571375,3.7710695,15.10076875,37.73691875,47.66794125,53.920815,60.9899255,3910.62346533,3936.31574279,3756.85816775,4194.45066363,35.697727997,17.7477771873,8,3.91062346533,38.55354623676,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.231895|51.277647
3368,UBA,DEBW029,Aalen,Germany,background,suburban,420,423,9,2937,2940,5633,54,32.29,58,4,3,13,"Mixed forest: 41.9 %, Cropland/Natural vegetation mosaic: 30.1 %, Croplands: 22.4 %, Urban and built-up: 4.6 %",3.04409,2.98,0,0.817,0.946600274725,33.5976055674,66.78161875,65.972584375,66.78161875,66.6617890625,55.0964578125,54.72405,47.8106018187,4.7002218125,10.022302625,21.9433375,45.65511875,55.616035,61.0562025,66.3004495,7653.7307094,7512.77523341,7064.61764634,8226.38359627,42.3492469734,24.2776216182,8,7.6537307094,45.737186731272,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,10.098309|48.850373
3369,UBA,DEBW042,Bernhausen,Germany,background,suburban,370,371,28,19475,26294,39543,56,46.94,63,4,3,13,"Urban and built-up: 31.4 %, Mixed forest: 28.3 %, Cropland/Natural vegetation mosaic: 21.0 %, Croplands: 17.9 %, Deciduous Broadleaf forest: 1.3 %",17.1518,4.74,0,1.255,0.947458791209,28.3868492723,64.0843698661,63.7397651786,64.0843698661,63.7397651786,49.8471390625,49.6912953125,43.2591124514,1.34081625,4.03216275,15.9112375,39.963703125,50.19041875,56.414859375,62.482123,4994.53374939,4914.42511632,4661.15551426,5333.74499523,36.9907149143,19.1842376069,8,4.99453374939,39.949972107444,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.227587|48.67819
3370,UBA,DEBW046,Biberach,Germany,background,suburban,560,533,16,1967,1969,3712,52,27.45,52,4,3,14,"Cropland/Natural vegetation mosaic: 40.6 %, Croplands: 32.8 %, Mixed forest: 23.3 %, Urban and built-up: 2.2 %",1.1027,2.81,0,2.62,0.949175824176,31.9469279562,65.2349473958,64.9159296875,65.2349473958,64.9159296875,53.942428125,53.8652859375,47.0413816888,3.9242398125,7.8149555,19.09176875,44.533609375,54.4738225,59.726211875,64.8634135,7149.90212454,6945.68521706,6430.56438262,7364.8078268,41.1787705493,22.0403990763,8,7.14990212454,44.473072193244,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.799713|48.090185
3374,UBA,DEBW038,Friedrichshafen,Germany,background,urban,402,402,17,1728,4570,20201,49,30.12,57,4,3,14,"Cropland/Natural vegetation mosaic: 45.3 %, Water: 21.1 %, Mixed forest: 17.4 %, Croplands: 7.6 %, Urban and built-up: 6.5 %",1.6829,1.98,0,0.004,0.952380952381,31.6995863154,65.660871875,65.259096875,65.660871875,65.259096875,52.460246875,52.345903125,44.4546520057,6.521601875,11.032280375,20.25399375,42.4801,52.8338375,58.390076875,64.8440425,5574.24374143,5442.20105812,5251.55739763,6581.57260001,37.4061560778,25.5231133532,8,5.57424374143,40.398648564024,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.486255|47.660553
3375,UBA,DEBW112,Gaertringen,Germany,background,suburban,463,478,42,8795,8802,39543,46,28.59,63,4,3,5,"Mixed forest: 34.7 %, Croplands: 25.3 %, Cropland/Natural vegetation mosaic: 21.0 %, Urban and built-up: 17.6 %",3.94376,4.69,0,3.418,0.945856227106,34.2090016864,69.0105640625,68.4948359375,69.0105640625,68.7207828125,55.0161779762,54.5275816964,48.48244363,8.7812575625,12.91131875,22.034196875,45.284684375,55.42398875,61.736641875,67.73756975,7711.54935812,7522.82784396,7373.73013441,8641.07437573,42.5290070984,25.2804942063,8,7.71154935812,45.931327666272,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,8.903303|48.648925
3379,UBA,DEBW081,Karlsruhe-Nordwest,Germany,background,urban,113,115,10,22819,22819,22839,62,56.78,63,4,1,13,"Mixed forest: 37.0 %, Croplands: 26.5 %, Urban and built-up: 17.7 %, Cropland/Natural vegetation mosaic: 16.7 %, Evergreen Needleleaf forest: 1.1 %",11.2946,6.07,3,1.382,0.944293478261,29.5141877292,64.7776051339,63.4835790816,64.7776051339,64.5536129464,50.0014296875,49.1036160714,42.7103851896,2.576529625,6.282726625,17.48623125,40.32710625,50.0854675,57.002730625,64.07232375,4807.19994384,4571.31237024,4761.57561635,5750.72802392,35.8689395835,22.5120128119,7,4.80719994384,38.73845475018,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,8.3556|49.028711
3380,UBA,DEBW022,Kehl,Germany,industrial,suburban,135,136,4,16902,50374,52046,60,54.17,63,4,2,13,"Croplands: 38.2 %, Mixed forest: 23.4 %, Cropland/Natural vegetation mosaic: 20.7 %, Urban and built-up: 15.3 %, Evergreen Needleleaf forest: 1.2 %",4.5128,4.95,3,1.817,0.939424818841,28.5118640822,62.3393734375,60.8635142857,62.3393734375,62.242259375,47.6341314732,46.6335395408,40.7182001814,3.112543,6.817491,16.942690625,38.8367125,48.03915375,54.25343375,61.4068585,3917.75098128,3755.63755129,3714.10061329,4523.52994319,34.1922718077,22.3826397696,7,3.91775098128,36.927653552316,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.80232|48.57818
3381,UBA,DEBW052,Konstanz,Germany,background,urban,400,400,9,10571,10571,11475,55,38.51,57,4,3,13,"Cropland/Natural vegetation mosaic: 42.3 %, Mixed forest: 23.2 %, Water: 14.0 %, Croplands: 12.4 %, Urban and built-up: 4.5 %, Evergreen Needleleaf forest: 1.9 %",3.94933,2.51,0,1.559,0.950434981685,33.6021845383,66.068525,65.9573109375,66.068525,65.9573109375,53.0695671875,52.6576125,45.5598785573,9.3719310625,14.53628875,23.494828125,43.555428125,53.29559625,58.943941875,65.19816075,6068.67563082,5940.22659402,5710.43131886,7003.11537606,39.452588703,27.3525274425,8,6.06867563082,42.60879579924,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.169281|47.664428
3382,UBA,DEBW024,Ludwigsburg,Germany,background,suburban,300,302,71,10635,22271,39543,62,57.68,63,4,3,13,"Urban and built-up: 31.5 %, Croplands: 26.9 %, Mixed forest: 20.7 %, Cropland/Natural vegetation mosaic: 20.5 %",24.1442,5.57,0,2.735,0.950263278388,32.4955029348,68.3299796875,68.2203359375,68.3299796875,68.2203359375,54.092278125,53.7609890625,46.6168006365,4.4815553125,9.597799625,20.735675,43.653303125,54.504825,60.835660625,67.62805375,6746.64223014,6588.65053226,6609.8397229,7859.06463284,39.8083293475,24.7362284848,8,6.74664223014,42.9929956953,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.17288|48.899272
3388,UBA,DEBW111,Offenburg,Germany,background,suburban,150,151,7,3197,3200,52046,54,37.91,63,4,1,13,"Mixed forest: 42.5 %, Croplands: 21.4 %, Cropland/Natural vegetation mosaic: 18.0 %, Urban and built-up: 13.8 %, Evergreen Needleleaf forest: 3.0 %",2.48323,4.53,0,2.281,0.856770833333,27.25638737,61.2309464286,61.2309464286,61.2309464286,61.2309464286,44.989425,44.9800166667,38.6377469364,3.8449265,7.77590066667,17.825325,36.7596833333,45.59363,52.5057166667,60.4405306667,3145.57606174,2995.71422082,2954.47416823,3517.14864406,32.7185116703,22.3922723247,3,3.14557606174,35.335992603924,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.937756|48.476355
3389,UBA,DEBW033,Pforzheim,Germany,background,urban,260,282,11,12544,16056,22839,58,42.62,63,4,3,13,"Mixed forest: 44.3 %, Cropland/Natural vegetation mosaic: 20.6 %, Croplands: 20.5 %, Urban and built-up: 10.9 %, Evergreen Needleleaf forest: 3.1 %",2.33679,5.19,0,1.41,0.946886446886,28.1826391463,61.6121875,61.6121875,61.6121875,61.5597140625,48.9218078125,48.6316328125,42.5888723899,2.95105,6.0584245,14.67144375,40.305965625,49.39564625,55.118216875,61.18129525,4573.11929598,4501.50812335,4007.17344779,4615.99418264,36.3890775135,19.4330025943,8,4.57311929598,39.30020371458,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,8.665574|48.889028
3390,UBA,DEBW110,Pfullendorf,Germany,background,suburban,623,621,11,1603,1681,4956,38,17.57,43,4,3,14,"Cropland/Natural vegetation mosaic: 39.6 %, Mixed forest: 34.3 %, Croplands: 20.5 %, Water: 2.3 %, Urban and built-up: 2.2 %",0.532523,2.62,1,3.85,0.801053113553,31.7184782585,64.4824416667,63.9342,64.4824416667,64.4824416667,52.3534732143,51.9493482143,45.8790641257,5.03328666667,9.16601066667,19.9577333333,43.2528166667,52.9426133333,58.71276,63.362412,6359.05941773,6220.19214261,5601.84580941,6330.34652471,40.6260544534,22.0230267382,3,6.35905941773,43.876138809672,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.23704|47.931921
3391,UBA,DEBW026,Plochingen,Germany,background,suburban,250,251,63,11438,11448,39543,50,40.62,63,4,3,12,"Mixed forest: 29.7 %, Cropland/Natural vegetation mosaic: 28.6 %, Urban and built-up: 22.8 %, Croplands: 17.1 %, Deciduous Broadleaf forest: 1.7 %",6.5175,4.46,0,2.823,0.892284798535,23.6029146589,64.4686041667,64.3839347222,64.4686041667,64.3839347222,50.53046875,50.6931125,43.4585053986,0.45947,1.04759,5.615975,38.779275,51.3328166667,58.2215016667,64.7381593333,5667.71717791,5563.50178796,5180.39705623,5433.20254125,35.5458501228,11.0707283789,3,5.66771717791,38.389518132624,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,9.414758|48.708466
